Longitude,Latitude
72.5,18.5
68.2,19.25
67.14,19.42
66.41666666666667,19.533333333333335
65.88571428571429,19.628571428571433
64.45714285714286,19.871428571428574
63.457142857142856,20.128571428571433
62.65714285714285,20.171428571428578
62.54285714285714,20.228571428571435
62.42857142857143,20.27142857142858
62.31428571428571,20.328571428571433
62.199999999999996,20.371428571428574
62.1,20.428571428571438
61.98571428571429,20.47142857142858
61.871428571428574,20.528571428571436
61.75714285714287,20.571428571428577
61.64285714285713,20.628571428571433
61.52857142857143,20.671428571428578
61.41428571428572,20.728571428571435
61.300000000000004,20.77142857142858
61.199999999999996,20.828571428571433
61.1,20.871428571428574
61.0,20.928571428571438
60.9,20.97142857142858
60.800000000000004,21.028571428571436
60.699999999999996,21.071428571428577
60.6,21.128571428571433
60.48571428571429,21.171428571428578
60.371428571428574,21.228571428571435
60.31666666666667,21.250000000000007
60.25999999999999,21.28000000000001
60.2,21.300000000000008
60.0,21.40000000000001
