Longitude,Latitude
71.2,16.10000000000001
73.69999999999999,13.500000000000004
73.88,13.280000000000005
74.01666666666667,13.116666666666669
74.11428571428571,12.98571428571429
74.62857142857142,12.414285714285716
74.67142857142858,12.300000000000002
74.72857142857143,12.200000000000003
74.77142857142857,12.100000000000003
74.87142857142855,11.957142857142859
74.95714285714287,11.814285714285717
75.07142857142857,11.65714285714286
75.17142857142858,11.48571428571429
75.28571428571429,11.314285714285717
75.38571428571429,11.128571428571432
75.50000000000001,10.942857142857147
75.55714285714285,10.785714285714288
75.62857142857142,10.628571428571432
75.67142857142858,10.48571428571429
75.72857142857143,10.35714285714286
75.77142857142857,10.214285714285717
75.82857142857142,10.085714285714287
75.87142857142858,7.842857142857144
75.92857142857143,5.6142857142857165
75.97142857142858,3.25714285714286
76.05714285714285,0.8714285714285737
76.12857142857142,-1.557142857142855
76.35714285714286,-4.114285714285711
76.41666666666667,-6.416666666666663
76.5,-6.659999999999997
76.6,-6.9999999999999964
77.5,-8.099999999999994
