Longitude,Latitude
71.2,16.10000000000001
72.64999999999999,15.950000000000006
72.8,15.860000000000005
72.89999999999999,15.783333333333339
72.98571428571428,15.714285714285719
73.3142857142857,15.585714285714289
73.4,15.442857142857147
73.45714285714287,15.300000000000002
73.52857142857144,15.171428571428574
73.57142857142857,15.05714285714286
73.65714285714284,14.914285714285716
73.72857142857141,14.757142857142862
73.8142857142857,14.600000000000005
73.88571428571429,14.442857142857147
73.97142857142858,14.300000000000002
74.04285714285713,14.15714285714286
74.12857142857142,14.014285714285718
74.17142857142858,13.885714285714288
74.22857142857143,13.771428571428574
74.27142857142857,13.614285714285716
74.32857142857142,13.457142857142859
74.37142857142858,13.271428571428574
74.42857142857143,13.085714285714289
74.47142857142858,12.900000000000004
74.52857142857144,12.728571428571431
74.57142857142857,12.55714285714286
74.62857142857142,12.428571428571432
74.67142857142858,12.300000000000002
74.72857142857143,12.200000000000003
74.77142857142857,12.100000000000003
74.87142857142855,11.957142857142859
74.95714285714287,11.814285714285717
75.07142857142857,11.65714285714286
75.17142857142858,11.48571428571429
75.28571428571429,11.314285714285717
75.38571428571429,11.128571428571432
75.50000000000001,10.942857142857147
75.55714285714285,10.785714285714288
75.62857142857142,10.628571428571432
75.67142857142858,10.48571428571429
75.72857142857143,10.35714285714286
75.77142857142857,10.214285714285717
75.82857142857142,10.085714285714287
75.87142857142858,9.871428571428572
75.70000000000002,9.471428571428573
75.51428571428572,8.42857142857143
75.34285714285714,7.385714285714287
75.15714285714286,6.200000000000002
75.02857142857144,4.985714285714288
74.88571428571429,3.55714285714286
74.88571428571429,2.085714285714289
75.10000000000001,0.07142857142857549
75.52857142857144,-1.499999999999996
75.68333333333334,-2.216666666666663
75.9,-2.9999999999999956
76.125,-4.074999999999996
77.5,-8.099999999999994
